address,time,LATB,LNGB,price
"黄陂人信城??
                    黄陂-前川-前川街188号",2013年建造,30.898029,114.37993,11136
"黄陂人信城??
                    黄陂-前川-前川街188号",2014年建造,30.898029,114.37993,9896
"黄陂人信城??
                    黄陂-前川-前川街188号",2013年建造,30.898029,114.37993,10000
"黄陂人信城??
                    黄陂-前川-前川街188号",2013年建造,30.898029,114.37993,10103
"黄陂人信城??
                    黄陂-前川-前川街188号",2014年建造,30.898029,114.37993,10891
"南德国际城??
                    黄陂-前川-百泰路",2014年建造,30.894001,114.380632,11397
"黄陂广场??
                    黄陂-前川-锦秀道198号",2010年建造,30.886561,114.382257,12676
"木兰国际广场??
                    黄陂-前川-黄陂大道",2018年建造,30.885089,114.372625,8297
"杏林花苑??
                    黄陂-前川-百盛街25附1号",2015年建造,30.883764,114.389816,11111
"东风小区??
                    黄陂-前川-百兴街58号",1998年建造,30.88204,114.392461,8735
"金都丽园??
                    黄陂-前川-双凤大道603号",2010年建造,30.880573,114.381305,8826
"杨园雅都??
                    黄陂-前川-石阳街",2010年建造,30.879827,114.377794,8023
"金龙四季阳光??
                    黄陂-前川-西寺大道409号",2015年建造,30.879166,114.366908,11034
"金龙四季阳光??
                    黄陂-前川-西寺大道409号",2008年建造,30.879166,114.366908,9913
"黄陂春天??
                    黄陂-前川-板桥大道",2010年建造,30.876704,114.367802,11824
"书香名邸??
                    黄陂-前川-板桥大道333号",2008年建造,30.87665,114.371044,9000
"博创中央公馆??
                    黄陂-前川-石阳街86号",2000年建造,30.874215,114.377314,8641
"合融桃源??
                    黄陂-前川-东堤路39号",2014年建造,30.873085,114.393767,8067
"前川欣城??
                    黄陂-前川-石阳街8号",2013年建造,30.87264,114.378866,10416
"前川欣城二期??
                    黄陂-黄陂周边-前川大道463号",2014年建造,30.87264,114.378866,11489
"前川欣城二期??
                    黄陂-黄陂周边-前川大道463号",2018年建造,30.87264,114.378866,10563
"前川欣城??
                    黄陂-前川-石阳街8号",2010年建造,30.87264,114.378866,8888
"前川欣城??
                    黄陂-前川-石阳街8号",2017年建造,30.87264,114.378866,10515
"前川欣城??
                    黄陂-前川-石阳街8号",2000年建造,30.87264,114.378866,20000
"南德滨水雅苑??
                    黄陂-前川-大南街4号",2010年建造,30.872083,114.388125,9333
"龙城华庭??
                    新洲-新洲周边-文昌大道237号",2015年建造,30.846452,114.819406,10169
"城开玉桥新都??
                    武昌-积玉桥-和平大道108号",2008年建造,30.839504,104.116583,31313
"城开玉桥新都??
                    武昌-积玉桥-和平大道108号",2006年建造,30.839504,104.116583,26258
"城开玉桥新都??
                    武昌-积玉桥-和平大道108号",2007年建造,30.839504,104.116583,31313
"城开玉桥新都??
                    武昌-积玉桥-和平大道108号",2006年建造,30.839504,104.116583,31250
"金山左岸时代??
                    东西湖-吴家山-黄狮海东路",2014年建造,30.835081,121.248408,10330
"蓝色星城今古城??
                    黄陂-黄陂周边-横店大道",2014年建造,30.805426,114.296749,7500
"未来海岸??
                    黄陂-盘龙城-盘龙大道",2018年建造,30.755135,114.275947,8673
"未来海岸??
                    黄陂-盘龙城-盘龙大道",2009年建造,30.755135,114.275947,8898
"F绿岛??
                    黄陂-盘龙城-腾龙大道",2012年建造,30.737962,114.261204,12376
"F绿岛艺墅??
                    黄陂-盘龙城-腾龙大道",2014年建造,30.737962,114.261204,22357
"汉口湖畔??
                    黄陂-盘龙城-盘龙大道49号",2014年建造,30.732982,114.264601,12696
"尚璟瑞府??
                    黄陂-盘龙城-兴龙路",2018年建造,30.730253,114.229286,16666
"万润橄榄城??
                    黄陂-盘龙城-宋岗一路",2013年建造,30.730106,114.250372,13000
"华虹领航城??
                    黄陂-盘龙城-巨龙大道",2014年建造,30.727956,114.243988,13043
"恒大龙城??
                    黄陂-盘龙城-宋家岗东路",2017年建造,30.727347,114.235655,12777
"恒大龙城二期??
                    黄陂-盘龙城-兴龙路",2016年建造,30.727347,114.235655,12707
"恒大龙城二期??
                    黄陂-盘龙城-兴龙路",2016年建造,30.727347,114.235655,12524
"恒大龙城??
                    黄陂-盘龙城-宋家岗东路",2015年建造,30.727347,114.235655,13385
"颐景康城??
                    黄陂-盘龙城-盘龙大道",2013年建造,30.726731,114.26907,12242
"颐景康城??
                    黄陂-盘龙城-盘龙大道",2013年建造,30.726731,114.26907,10862
"颐景康城??
                    黄陂-盘龙城-盘龙大道",2012年建造,30.726731,114.26907,10960
"城开天玺花园??
                    黄陂-盘龙城-盘龙大道",2014年建造,30.726265,114.274221,9681
"城开天玺花园??
                    黄陂-盘龙城-盘龙大道",2011年建造,30.726265,114.274221,9294
"汉北玺园??
                    黄陂-武湖-汉口北大道",2016年建造,30.725,114.41983,10937
"汉北玺园??
                    黄陂-武湖-汉口北大道",2016年建造,30.725,114.41983,10729
"汉北玺园??
                    黄陂-武湖-汉口北大道",2016年建造,30.725,114.41983,10975
"汉北玺园??
                    黄陂-武湖-汉口北大道",2016年建造,30.725,114.41983,11192
"汉北大全景??
                    黄陂-武湖-汉口北大道",2013年建造,30.724906,114.416903,11290
"汉北大全景??
                    黄陂-武湖-汉口北大道",2016年建造,30.724906,114.416903,11612
"嬉空间北回归线??
                    黄陂-汉口北-滠口街特1号",2015年建造,30.724826,114.359802,13793
"玫汉口北城??
                    黄陂-汉口北-汉口北大道",2008年建造,30.721753,114.356868,10476
"名流人和天地沁和园??
                    黄陂-盘龙城-巨龙大道88号",2012年建造,30.721105,114.284017,12580
"名流人和天地风和园??
                    黄陂-盘龙城-巨龙大道88号",2015年建造,30.720991,114.283676,11666
"龙巢小区??
                    黄陂-汉口北-汉口北大道",2016年建造,30.719127,114.351189,6222
"珑璟轩(别墅)??
                    黄陂-盘龙城-巨龙大道217号",2013年建造,30.718671,114.256727,27941
"名流人和天地润和园??
                    黄陂-盘龙城-巨龙大道88号",2012年建造,30.718524,114.284339,9147
"名流人和天地润和园??
                    黄陂-盘龙城-巨龙大道88号",2010年建造,30.718524,114.284339,11224
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",2016年建造,30.717746,114.276375,11764
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",2015年建造,30.717746,114.276375,12409
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",2016年建造,30.717746,114.276375,11454
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",2006年建造,30.717746,114.276375,11454
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",2015年建造,30.717746,114.276375,11423
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",2016年建造,30.717746,114.276375,11458
"珩生领袖城??
                    黄陂-盘龙城-盘龙大道",2014年建造,30.716887,114.269104,11516
"珩生领袖城??
                    黄陂-盘龙城-盘龙大道",2012年建造,30.716887,114.269104,11842
"珩生领袖城??
                    黄陂-盘龙城-盘龙大道",2012年建造,30.716887,114.269104,11212
"珩生领袖城??
                    黄陂-盘龙城-盘龙大道",2008年建造,30.716887,114.269104,12359
"南湖华锦春天故事??
                    武昌-南湖花园-富安街",2003年建造,30.716358,120.844535,20245
"南湖狮山美庐??
                    洪山-珞狮南路-珞狮南路",2006年建造,30.716358,120.844535,17553
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",2011年建造,30.715052,114.253631,11764
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",2006年建造,30.715052,114.253631,10731
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",2012年建造,30.715052,114.253631,10549
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",2017年建造,30.715052,114.253631,10878
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",2012年建造,30.715052,114.253631,11704
"龙城天居园??
                    黄陂-盘龙城-巨龙大道161号",2012年建造,30.715001,114.259063,11896
"名流人和天地怡和园??
                    黄陂-盘龙城-巨龙大道88号",2012年建造,30.714937,114.283474,10991
"名流人和天地怡和园??
                    黄陂-盘龙城-巨龙大道88号",2012年建造,30.714937,114.283474,13043
"名流人和天地怡和园??
                    黄陂-盘龙城-巨龙大道88号",2013年建造,30.714937,114.283474,11682
"名流人和天地怡和园??
                    黄陂-盘龙城-巨龙大道88号",2012年建造,30.714937,114.283474,11694
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",2015年建造,30.714771,114.261447,13095
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",2013年建造,30.714771,114.261447,12790
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",2012年建造,30.714771,114.261447,13225
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",2010年建造,30.714771,114.261447,14047
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",2012年建造,30.714771,114.261447,12049
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",2017年建造,30.714771,114.261447,12941
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",2012年建造,30.714771,114.261447,12903
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",2010年建造,30.714771,114.261447,12000
"盘龙新天地??
                    黄陂-盘龙城-露甲山特1号",2011年建造,30.713874,114.250758,9489
"龙城懿品??
                    黄陂-盘龙城-巨龙大道143号",2014年建造,30.713216,114.271494,12745
"龙城花园??
                    黄陂-盘龙城-巨龙大道",2011年建造,30.712521,114.289524,12156
"哥特帝景??
                    黄陂-盘龙城-露甲山路17号",2012年建造,30.711756,114.252925,8630
"风荷苑??
                    新洲-阳逻开发区-圆梦北路",2017年建造,30.711152,114.585235,7040
"美景天城??
                    黄陂-盘龙城-巨龙大道48号",2015年建造,30.71098,114.295746,11092
"美景天城??
                    黄陂-盘龙城-巨龙大道48号",2013年建造,30.71098,114.295746,12218
"泰合雅文小区??
                    黄陂-武湖-汉施公路",2011年建造,30.710531,114.434421,10707
"新澳城市印象??
                    新洲-阳逻开发区-余泊北路",2011年建造,30.709608,114.574645,7407
"新澳城市印象??
                    新洲-阳逻开发区-余泊北路",2015年建造,30.709608,114.574645,7727
"巢上城俊园??
                    黄陂-盘龙城-汤云海路",2011年建造,30.709096,114.253269,12500
"巢上城俊园??
                    黄陂-盘龙城-汤云海路",2011年建造,30.709096,114.253269,13918
"中城时代??
                    黄陂-盘龙城-巨龙大道",2015年建造,30.708608,114.291582,14805
"中城时代??
                    黄陂-盘龙城-巨龙大道",2013年建造,30.708608,114.291582,10454
"中城时代??
                    黄陂-盘龙城-巨龙大道",2011年建造,30.708608,114.291582,14935
"中城时代??
                    黄陂-盘龙城-巨龙大道",2014年建造,30.708608,114.291582,12272
"中城时代??
                    黄陂-盘龙城-巨龙大道",2012年建造,30.708608,114.291582,15064
"巢上城锦园??
                    黄陂-盘龙城-汤云海路",2013年建造,30.70828,114.257708,13488
"香奈天鹅湖??
                    黄陂-盘龙城-巨龙大道46号",2013年建造,30.705704,114.295505,9000
"香奈天鹅湖(别墅)??
                    黄陂-盘龙城-巨龙大道46号",2010年建造,30.705704,114.295505,10360
"08经典??
                    黄陂-盘龙城-巨龙大道30号",2008年建造,30.70535,114.30324,11818
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",2014年建造,30.70529,114.298894,13792
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",2016年建造,30.70529,114.298894,11914
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",2016年建造,30.70529,114.298894,12333
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",2012年建造,30.70529,114.298894,11666
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",2014年建造,30.70529,114.298894,11904
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",2014年建造,30.70529,114.298894,12166
"天昊玫瑰园??
                    黄陂-武湖-武湖立山路",2015年建造,30.704238,114.419454,11931
"天昊玫瑰园??
                    黄陂-武湖-武湖立山路",2011年建造,30.704238,114.419454,11363
"天昊玫瑰园??
                    黄陂-武湖-武湖立山路",2014年建造,30.704238,114.419454,11590
"二八八社区??
                    黄陂-汉口北-汉口北大道",1996年建造,30.703508,114.319564,12043
"盛世年华??
                    黄陂-武湖-光明路特1号",2012年建造,30.702526,114.420617,12903
"天纵汉北康城(1-7栋)??
                    黄陂-汉口北-汉黄路",2011年建造,30.700011,114.320335,14047
"天纵城??
                    黄陂-盘龙城-盘龙一路",2015年建造,30.69958,114.310471,11159
"天纵城??
                    黄陂-盘龙城-盘龙一路",2017年建造,30.69958,114.310471,11111
"天纵城??
                    黄陂-盘龙城-盘龙一路",2016年建造,30.69958,114.310471,12637
"天纵城??
                    黄陂-盘龙城-盘龙一路",2014年建造,30.69958,114.310471,12135
"天纵城??
                    黄陂-盘龙城-盘龙一路",2018年建造,30.69958,114.310471,12658
"天纵城??
                    黄陂-盘龙城-盘龙一路",2015年建造,30.69958,114.310471,11411
"天纵城??
                    黄陂-盘龙城-盘龙一路",2016年建造,30.69958,114.310471,12211
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",2011年建造,30.697451,114.577,8289
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",2014年建造,30.697451,114.577,8133
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",2015年建造,30.697451,114.577,8153
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",2012年建造,30.697451,114.577,8241
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",2012年建造,30.697451,114.577,8644
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",2012年建造,30.697451,114.577,8284
"盘龙瑞祥熙园??
                    黄陂-汉口北-汉黄路",2010年建造,30.696559,114.32324,10816
"龙辰丽湾??
                    黄陂-汉口北-刘店特8号",2010年建造,30.696187,114.318037,12719
"龙辰丽湾??
                    黄陂-汉口北-刘店特8号",2012年建造,30.696187,114.318037,11712
"龙辰丽湾??
                    黄陂-汉口北-刘店特8号",2012年建造,30.696187,114.318037,11666
"宜鑫盛世??
                    黄陂-汉口北-汉黄路",2010年建造,30.694338,114.323328,12643
"澜桥康城??
                    黄陂-盘龙城-甲宝山路",2008年建造,30.692894,114.266868,12511
"城开天兴花园??
                    江岸-堤角-兴盛路201号",2009年建造,30.692558,114.375041,14044
"城开天兴花园??
                    江岸-堤角-兴盛路201号",2014年建造,30.692558,114.375041,14102
"卓越罗纳河谷??
                    黄陂-盘龙城-甲宝山路",2010年建造,30.69143,114.261352,10367
"卓越罗纳河谷??
                    黄陂-盘龙城-甲宝山路",2012年建造,30.69143,114.261352,10000
"卓越罗纳河谷??
                    黄陂-盘龙城-甲宝山路",2009年建造,30.69143,114.261352,11048
"卓越罗纳河谷??
                    黄陂-盘龙城-甲宝山路",2009年建造,30.69143,114.261352,11188
"天琴湾??
                    新洲-阳逻开发区-环湖路",2012年建造,30.684438,114.579528,14000
"天琴湾??
                    新洲-阳逻开发区-环湖路",2010年建造,30.684438,114.579528,6952
"天琴湾??
                    新洲-阳逻开发区-环湖路",2008年建造,30.684438,114.579528,7738
"天琴湾??
                    新洲-阳逻开发区-环湖路",2012年建造,30.684438,114.579528,7941
"武汉奥林匹克花园??
                    东西湖-金银湖-环湖中路18号",2004年建造,30.677986,114.217978,13205
"远洋世界(一期)??
                    东西湖-吴家山-径河路2号",2012年建造,30.677838,114.149484,12087
