address,LATB,LNGB,price,time
"黄陂人信城??
                    黄陂-前川-前川街188号",30.898029,114.37993,11136,2013
"黄陂人信城??
                    黄陂-前川-前川街188号",30.898029,114.37993,9896,2014
"黄陂人信城??
                    黄陂-前川-前川街188号",30.898029,114.37993,10000,2013
"黄陂人信城??
                    黄陂-前川-前川街188号",30.898029,114.37993,10103,2013
"黄陂人信城??
                    黄陂-前川-前川街188号",30.898029,114.37993,10891,2014
"南德国际城??
                    黄陂-前川-百泰路",30.894001,114.380632,11397,2014
"黄陂广场??
                    黄陂-前川-锦秀道198号",30.886561,114.382257,12676,2010
"木兰国际广场??
                    黄陂-前川-黄陂大道",30.885089,114.372625,8297,2018
"杏林花苑??
                    黄陂-前川-百盛街25附1号",30.883764,114.389816,11111,2015
"东风小区??
                    黄陂-前川-百兴街58号",30.88204,114.392461,8735,1998
"金都丽园??
                    黄陂-前川-双凤大道603号",30.880573,114.381305,8826,2010
"杨园雅都??
                    黄陂-前川-石阳街",30.879827,114.377794,8023,2010
"金龙四季阳光??
                    黄陂-前川-西寺大道409号",30.879166,114.366908,11034,2015
"金龙四季阳光??
                    黄陂-前川-西寺大道409号",30.879166,114.366908,9913,2008
"黄陂春天??
                    黄陂-前川-板桥大道",30.876704,114.367802,11824,2010
"书香名邸??
                    黄陂-前川-板桥大道333号",30.87665,114.371044,9000,2008
"博创中央公馆??
                    黄陂-前川-石阳街86号",30.874215,114.377314,8641,2000
"合融桃源??
                    黄陂-前川-东堤路39号",30.873085,114.393767,8067,2014
"前川欣城??
                    黄陂-前川-石阳街8号",30.87264,114.378866,10416,2013
"前川欣城二期??
                    黄陂-黄陂周边-前川大道463号",30.87264,114.378866,11489,2014
"前川欣城二期??
                    黄陂-黄陂周边-前川大道463号",30.87264,114.378866,10563,2018
"前川欣城??
                    黄陂-前川-石阳街8号",30.87264,114.378866,8888,2010
"前川欣城??
                    黄陂-前川-石阳街8号",30.87264,114.378866,10515,2017
"前川欣城??
                    黄陂-前川-石阳街8号",30.87264,114.378866,20000,2000
"南德滨水雅苑??
                    黄陂-前川-大南街4号",30.872083,114.388125,9333,2010
"龙城华庭??
                    新洲-新洲周边-文昌大道237号",30.846452,114.819406,10169,2015
"城开玉桥新都??
                    武昌-积玉桥-和平大道108号",30.839504,104.116583,31313,2008
"城开玉桥新都??
                    武昌-积玉桥-和平大道108号",30.839504,104.116583,26258,2006
"城开玉桥新都??
                    武昌-积玉桥-和平大道108号",30.839504,104.116583,31313,2007
"城开玉桥新都??
                    武昌-积玉桥-和平大道108号",30.839504,104.116583,31250,2006
"金山左岸时代??
                    东西湖-吴家山-黄狮海东路",30.835081,121.248408,10330,2014
"蓝色星城今古城??
                    黄陂-黄陂周边-横店大道",30.805426,114.296749,7500,2014
"未来海岸??
                    黄陂-盘龙城-盘龙大道",30.755135,114.275947,8673,2018
"未来海岸??
                    黄陂-盘龙城-盘龙大道",30.755135,114.275947,8898,2009
"F绿岛??
                    黄陂-盘龙城-腾龙大道",30.737962,114.261204,12376,2012
"F绿岛艺墅??
                    黄陂-盘龙城-腾龙大道",30.737962,114.261204,22357,2014
"汉口湖畔??
                    黄陂-盘龙城-盘龙大道49号",30.732982,114.264601,12696,2014
"尚璟瑞府??
                    黄陂-盘龙城-兴龙路",30.730253,114.229286,16666,2018
"万润橄榄城??
                    黄陂-盘龙城-宋岗一路",30.730106,114.250372,13000,2013
"华虹领航城??
                    黄陂-盘龙城-巨龙大道",30.727956,114.243988,13043,2014
"恒大龙城??
                    黄陂-盘龙城-宋家岗东路",30.727347,114.235655,12777,2017
"恒大龙城二期??
                    黄陂-盘龙城-兴龙路",30.727347,114.235655,12707,2016
"恒大龙城二期??
                    黄陂-盘龙城-兴龙路",30.727347,114.235655,12524,2016
"恒大龙城??
                    黄陂-盘龙城-宋家岗东路",30.727347,114.235655,13385,2015
"颐景康城??
                    黄陂-盘龙城-盘龙大道",30.726731,114.26907,12242,2013
"颐景康城??
                    黄陂-盘龙城-盘龙大道",30.726731,114.26907,10862,2013
"颐景康城??
                    黄陂-盘龙城-盘龙大道",30.726731,114.26907,10960,2012
"城开天玺花园??
                    黄陂-盘龙城-盘龙大道",30.726265,114.274221,9681,2014
"城开天玺花园??
                    黄陂-盘龙城-盘龙大道",30.726265,114.274221,9294,2011
"汉北玺园??
                    黄陂-武湖-汉口北大道",30.725,114.41983,10937,2016
"汉北玺园??
                    黄陂-武湖-汉口北大道",30.725,114.41983,10729,2016
"汉北玺园??
                    黄陂-武湖-汉口北大道",30.725,114.41983,10975,2016
"汉北玺园??
                    黄陂-武湖-汉口北大道",30.725,114.41983,11192,2016
"汉北大全景??
                    黄陂-武湖-汉口北大道",30.724906,114.416903,11290,2013
"汉北大全景??
                    黄陂-武湖-汉口北大道",30.724906,114.416903,11612,2016
"嬉空间北回归线??
                    黄陂-汉口北-滠口街特1号",30.724826,114.359802,13793,2015
"玫汉口北城??
                    黄陂-汉口北-汉口北大道",30.721753,114.356868,10476,2008
"名流人和天地沁和园??
                    黄陂-盘龙城-巨龙大道88号",30.721105,114.284017,12580,2012
"名流人和天地风和园??
                    黄陂-盘龙城-巨龙大道88号",30.720991,114.283676,11666,2015
"龙巢小区??
                    黄陂-汉口北-汉口北大道",30.719127,114.351189,6222,2016
"珑璟轩(别墅)??
                    黄陂-盘龙城-巨龙大道217号",30.718671,114.256727,27941,2013
"名流人和天地润和园??
                    黄陂-盘龙城-巨龙大道88号",30.718524,114.284339,9147,2012
"名流人和天地润和园??
                    黄陂-盘龙城-巨龙大道88号",30.718524,114.284339,11224,2010
