Name,Long,Lat,price,time
黄陂人信城,30.898029,114.37993,11136,2013
黄陂人信城,30.898029,114.37993,9896,2014
黄陂人信城,30.898029,114.37993,10000,2013
黄陂人信城,30.898029,114.37993,10103,2013
黄陂人信城,30.898029,114.37993,10891,2014
南德国际城,30.894001,114.380632,11397,2014
黄陂广场,30.886561,114.382257,12676,2010
木兰国际广场,30.885089,114.372625,8297,2018
杏林花苑,30.883764,114.389816,11111,2015
东风小区,30.88204,114.392461,8735,1998
金都丽园,30.880573,114.381305,8826,2010
杨园雅都,30.879827,114.377794,8023,2010
金龙四季阳光,30.879166,114.366908,11034,2015
金龙四季阳光,30.879166,114.366908,9913,2008
黄陂春天,30.876704,114.367802,11824,2010
书香名邸,30.87665,114.371044,9000,2008
博创中央公馆,30.874215,114.377314,8641,2000
合融桃源,30.873085,114.393767,8067,2014
前川欣城,30.87264,114.378866,10416,2013
前川欣城二期,30.87264,114.378866,11489,2014
前川欣城二期,30.87264,114.378866,10563,2018
前川欣城,30.87264,114.378866,8888,2010
前川欣城,30.87264,114.378866,10515,2017
前川欣城,30.87264,114.378866,20000,2000
南德滨水雅苑,30.872083,114.388125,9333,2010
龙城华庭,30.846452,114.819406,10169,2015
城开玉桥新都,30.839504,104.116583,31313,2008
城开玉桥新都,30.839504,104.116583,26258,2006
城开玉桥新都,30.839504,104.116583,31313,2007
城开玉桥新都,30.839504,104.116583,31250,2006
金山左岸时代,30.835081,121.248408,10330,2014
蓝色星城今古城,30.805426,114.296749,7500,2014
未来海岸,30.755135,114.275947,8673,2018
未来海岸,30.755135,114.275947,8898,2009
F绿岛,30.737962,114.261204,12376,2012
F绿岛艺墅,30.737962,114.261204,22357,2014
汉口湖畔,30.732982,114.264601,12696,2014
尚璟瑞府,30.730253,114.229286,16666,2018
万润橄榄城,30.730106,114.250372,13000,2013
华虹领航城,30.727956,114.243988,13043,2014
恒大龙城,30.727347,114.235655,12777,2017
恒大龙城二期,30.727347,114.235655,12707,2016
恒大龙城二期,30.727347,114.235655,12524,2016
恒大龙城,30.727347,114.235655,13385,2015
颐景康城,30.726731,114.26907,12242,2013
颐景康城,30.726731,114.26907,10862,2013
颐景康城,30.726731,114.26907,10960,2012
城开天玺花园,30.726265,114.274221,9681,2014
城开天玺花园,30.726265,114.274221,9294,2011
汉北玺园,30.725,114.41983,10937,2016
汉北玺园,30.725,114.41983,10729,2016
汉北玺园,30.725,114.41983,10975,2016
汉北玺园,30.725,114.41983,11192,2016
汉北大全景,30.724906,114.416903,11290,2013
汉北大全景,30.724906,114.416903,11612,2016
嬉空间北回归线,30.724826,114.359802,13793,2015
玫汉口北城,30.721753,114.356868,10476,2008
名流人和天地沁和园,30.721105,114.284017,12580,2012
名流人和天地风和园,30.720991,114.283676,11666,2015
龙巢小区,30.719127,114.351189,6222,2016
珑璟轩(别墅),30.718671,114.256727,27941,2013
名流人和天地润和园,30.718524,114.284339,9147,2012
名流人和天地润和园,30.718524,114.284339,11224,2010
天汇龙城,30.717746,114.276375,11764,2016
天汇龙城,30.717746,114.276375,12409,2015
天汇龙城,30.717746,114.276375,11454,2016
天汇龙城,30.717746,114.276375,11454,2006
天汇龙城,30.717746,114.276375,11423,2015
天汇龙城,30.717746,114.276375,11458,2016
珩生领袖城,30.716887,114.269104,11516,2014
珩生领袖城,30.716887,114.269104,11842,2012
珩生领袖城,30.716887,114.269104,11212,2012
珩生领袖城,30.716887,114.269104,12359,2008
南湖华锦春天故事,30.716358,120.844535,20245,2003
南湖狮山美庐,30.716358,120.844535,17553,2006
鼎鑫摩卡小镇,30.715052,114.253631,11764,2011
鼎鑫摩卡小镇,30.715052,114.253631,10731,2006
鼎鑫摩卡小镇,30.715052,114.253631,10549,2012
鼎鑫摩卡小镇,30.715052,114.253631,10878,2017
鼎鑫摩卡小镇,30.715052,114.253631,11704,2012
龙城天居园,30.715001,114.259063,11896,2012
名流人和天地怡和园,30.714937,114.283474,10991,2012
名流人和天地怡和园,30.714937,114.283474,13043,2012
名流人和天地怡和园,30.714937,114.283474,11682,2013
名流人和天地怡和园,30.714937,114.283474,11694,2012
歌林花园,30.714771,114.261447,13095,2015
歌林花园,30.714771,114.261447,12790,2013
歌林花园,30.714771,114.261447,13225,2012
歌林花园,30.714771,114.261447,14047,2010
歌林花园,30.714771,114.261447,12049,2012
歌林花园,30.714771,114.261447,12941,2017
歌林花园,30.714771,114.261447,12903,2012
歌林花园,30.714771,114.261447,12000,2010
盘龙新天地,30.713874,114.250758,9489,2011
龙城懿品,30.713216,114.271494,12745,2014
龙城花园,30.712521,114.289524,12156,2011
哥特帝景,30.711756,114.252925,8630,2012
风荷苑,30.711152,114.585235,7040,2017
美景天城,30.71098,114.295746,11092,2015
美景天城,30.71098,114.295746,12218,2013
泰合雅文小区,30.710531,114.434421,10707,2011
新澳城市印象,30.709608,114.574645,7407,2011
新澳城市印象,30.709608,114.574645,7727,2015
巢上城俊园,30.709096,114.253269,12500,2011
巢上城俊园,30.709096,114.253269,13918,2011
中城时代,30.708608,114.291582,14805,2015
中城时代,30.708608,114.291582,10454,2013
中城时代,30.708608,114.291582,14935,2011
中城时代,30.708608,114.291582,12272,2014
中城时代,30.708608,114.291582,15064,2012
巢上城锦园,30.70828,114.257708,13488,2013
香奈天鹅湖,30.705704,114.295505,9000,2013
香奈天鹅湖(别墅),30.705704,114.295505,10360,2010
08经典,30.70535,114.30324,11818,2008
恒大名都,30.70529,114.298894,13792,2014
恒大名都,30.70529,114.298894,11914,2016
恒大名都,30.70529,114.298894,12333,2016
恒大名都,30.70529,114.298894,11666,2012
恒大名都,30.70529,114.298894,11904,2014
恒大名都,30.70529,114.298894,12166,2014
天昊玫瑰园,30.704238,114.419454,11931,2015
天昊玫瑰园,30.704238,114.419454,11363,2011
天昊玫瑰园,30.704238,114.419454,11590,2014
二八八社区,30.703508,114.319564,12043,1996
盛世年华,30.702526,114.420617,12903,2012
天纵汉北康城(1-7栋),30.700011,114.320335,14047,2011
天纵城,30.69958,114.310471,11159,2015
天纵城,30.69958,114.310471,11111,2017
天纵城,30.69958,114.310471,12637,2016
天纵城,30.69958,114.310471,12135,2014
天纵城,30.69958,114.310471,12658,2018
天纵城,30.69958,114.310471,11411,2015
天纵城,30.69958,114.310471,12211,2016
阳光新港中央花园城,30.697451,114.577,8289,2011
阳光新港中央花园城,30.697451,114.577,8133,2014
阳光新港中央花园城,30.697451,114.577,8153,2015
阳光新港中央花园城,30.697451,114.577,8241,2012
阳光新港中央花园城,30.697451,114.577,8644,2012
阳光新港中央花园城,30.697451,114.577,8284,2012
盘龙瑞祥熙园,30.696559,114.32324,10816,2010
龙辰丽湾,30.696187,114.318037,12719,2010
龙辰丽湾,30.696187,114.318037,11712,2012
龙辰丽湾,30.696187,114.318037,11666,2012
宜鑫盛世,30.694338,114.323328,12643,2010
澜桥康城,30.692894,114.266868,12511,2008
城开天兴花园,30.692558,114.375041,14044,2009
城开天兴花园,30.692558,114.375041,14102,2014
卓越罗纳河谷,30.69143,114.261352,10367,2010
卓越罗纳河谷,30.69143,114.261352,10000,2012
卓越罗纳河谷,30.69143,114.261352,11048,2009
卓越罗纳河谷,30.69143,114.261352,11188,2009
天琴湾,30.684438,114.579528,14000,2012
天琴湾,30.684438,114.579528,6952,2010
天琴湾,30.684438,114.579528,7738,2008
天琴湾,30.684438,114.579528,7941,2012
武汉奥林匹克花园,30.677986,114.217978,13205,2004
远洋世界(一期),30.677838,114.149484,12087,2012
远洋世界(三期),30.677838,114.149484,10108,2014
财富兴园中部慧谷,30.676114,114.210217,12448,2012
财富兴园中部慧谷,30.676114,114.210217,12371,2015
财富兴园中部慧谷,30.676114,114.210217,12213,2012
财富兴园中部慧谷,30.676114,114.210217,12470,2015
财富兴园中部慧谷,30.676114,114.210217,12352,2016
金银湖一号,30.675671,114.213448,17903,2017
金银湖一号,30.675671,114.213448,15350,2016
金色水岸,30.674178,114.56671,6804,2010
顺驰泊林,30.673934,114.217015,12589,2008
新港天地,30.673652,114.578921,8043,2015
水印桃源,30.673581,114.221119,13861,2013
水印桃源,30.673581,114.221119,12173,2010
锦湖金利花园,30.669953,114.350752,16923,2012
福星惠誉红桥城,30.669243,114.340004,16304,2016
福星惠誉红桥城,30.669243,114.340004,17391,2016
万丰丰泽园,30.668951,114.230074,15000,2015
花样年花样城,30.668394,114.17356,11229,2014
花样年花样城,30.668394,114.17356,13924,2015
花样年花样城,30.668394,114.17356,12528,2016
武汉恒大城二期,30.668182,114.1776,13656,2011
悦秀苑,30.668067,114.323983,18000,2010
悦秀苑,30.668067,114.323983,18438,2009
悦秀苑,30.668067,114.323983,18840,2008
悦秀苑,30.668067,114.323983,20000,2009
悦秀苑,30.668067,114.323983,18000,2009
景兰苑,30.667594,114.326764,19122,2010
银湖水榭,30.667559,114.22244,19863,2013
银湖水榭,30.667559,114.22244,15217,2014
美联公园前,30.667522,114.341183,15000,2018
碧桂园海昌天澜二期,30.666738,114.282407,18461,2013
碧桂园海昌天澜三期,30.666738,114.282407,17204,2017
碧桂园海昌天澜二期,30.666738,114.282407,15463,2015
碧桂园海昌天澜一期,30.666738,114.282407,19642,2015
碧桂园海昌天澜三期,30.666738,114.282407,16666,2016
新澳阳光城,30.666031,114.23632,14375,2008
新澳阳光城,30.666031,114.23632,15967,2010
F、阳光城,30.665609,114.235876,10915,2012
国际丽都,30.66515,114.231207,15476,2017
武汉恒大城一期,30.664725,114.173148,13656,2012
武汉恒大城一期,30.664725,114.173148,12115,2017
万科西半岛,30.66436,114.178208,14015,2009
万科西半岛,30.66436,114.178208,14065,2008
万科西半岛,30.66436,114.178208,13793,2010
万科西半岛,30.66436,114.178208,14876,2000
万科西半岛,30.66436,114.178208,14876,2010
万科西半岛,30.66436,114.178208,12359,2008
